common_name
Albacore
Angelshark
Baardman
Baardman (Slender)
Barracuda (Great)
Barracuda (Pickhandle)
Barracuda (Sawtooth)
Barrracuda (Blackfin)
Bass (Brindle)
Bass (Potato)
Blaasop (Blackback)
Blaasop (Silverstripe)
Blaasop (Smooth)
Blaasop (Star)
Blaasop (Whitespotted)
Blacktail
Bludger
Blueskin
Bonefish
Bonito (Atlantic)
Bonito (Striped)
Bream (Bronze)
Bream (River) / Perch
Bream (Stone)
Bream (Twobar)
Carpenter
Catfish (Eel)
Catfish (Sea) (Black)
Catfish (White Sea)
Catshark (Banded)
Catshark (Leopard)
Catshark (Striped)
Catshark (Tiger)
Cavebass
Chub (Blue)
Chub (Brassy)
Chub (Grey)
Concertina fish
Cutlass fish
Dageraad
Dane
Dogfish (Spiny)
Dorado
Eel (Blackedged)
Eel (Conger)
Eel (Crocodile Snake)
Eel (Leopard) (Moray)
Eel (Pike) (Conger)
Eel (Slender Giant) (Moray)
Eel (Yellow Edged Moray)
Elephant Fish / St Joseph
Elf / Shad
Emperor (Blue)
Emperor (Cutthroat
Emperor (Yellowfin)
Englishman
Fingerfin (Natal)
Fingerfin (Twotone)
Flathead (Bartailed)
Flounder (Largetooth)
Flounder (Measles)
Fransmadam
Fusilier (Yellowtail)
Galjoen
Galjoen (Banded)
Geelbek
Goatfish (Blacksaddle)
Goatfish (Indian)
Greenspot kingfish
Grunter (Cock)
Grunter (Grey)
Grunter (Javelin)
Grunter (Saddle)
Grunter (Spotted)
Grunter (Striped)
Guitarfish (Bluntnose)
Guitarfish (Giant)
Guitarfish (Greyspot)
Guitarfish (Lesser)
Gurnard (Cape)
Hogfish (Goldsaddle)
Hottentot
Hottentot (Blue)
Janbruin
Jobfish (Green)
Kingfish (Bigeye)
Kingfish (Blacktip)
Kingfish (Blue)
Kingfish (Bluefin)
Kingfish (Brassy)
Kingfish (Bumpnose)
Kingfish (Giant)
Kingfish (Golden)
Kingfish (Longfin)
Kingfish (Malabar)
Kingfish (Tille)
Kingfish (White)
Kingfish (Yellowspotted)
Kingklip
Klipvis
Knifejaw (Cape)
Knifejaw (Natal)
Kob (Common / Dusky)
Kob (Silver)
Kob (Small)
Kob (Snapper)
Kob (Squaretail)
Leervis / Garrick
Lemonfish
Maasbanker
Mackerel
Mackerel (Indian)
Mackerel (King) / Couta
Mackerel (Queen)
Marlin (Black)
Marlin (Striped)
Milkfish
Mirrorfish (Indian)
Mirrorfish (Threadfin)
Moony (Cape)
Moony (Natal)
Mullet (Bluetail)
Mullet (Diamond)
Mullet (Flathead)
Mullet (Southern)
Mullet (Striped)
Musselcracker (Black)
Musselcracker (White)
Needlefish (Barred)
Needlefish (Crocodile)
Needlefish (Yellowfin)
Old Woman
Panga
Parrotfish (Bluebarred)
Piggy
Pomfret (Black)
Pompano (Largespot)
Pompano (Snubnose)
Pompano (Southern)
Porcupinefish
Prodigal Son
Queenfish (Doublespotted )
Queenfish (Talang)
Rabbitfish (Whitespotted)
Rainbow Runner
Ray (Blacspotted Electric)
Ray (Bull) / Duckbill
Ray (Butterfly / Diamond)
Ray (Eagle)
Ray (Flapnose)
Ray (Marbled Electric)
Ray (Ribbontail) (Round)
Ray (Spotted Eagle)
Remora
Ribbontail (Bluespotted)
Rockcod (Bigspot)
Rockcod (Catface)
Rockcod (Halfmoon)
Rockcod (Malabar)
Rockcod (Streakyspot)
Rockcod (White Edged)
Rockcod (Yellowbelly)
Rockcod (Yellowtail)
Roman
Rubberlip (Barred)
Rubberlip (Black)
Rubberlip (Blackspotted)
Rubberlip (Dusky)
Rubberlip (Minstrel)
Rubberlip (Redlip)
Rubberlip (Whitebarred)
Sailfish
Santer
Scad (Torpedo)
Scorpionfish (Spineblotch)
Scotsman
Seventy-four
Shark (Blackfin Reef)
Shark (Blackspot)
Shark (Blacktip) (F)
Shark (Blacktip) (M)
Shark (Blue) (F)
Shark (Blue) (M)
Shark (Bull) (F)
Shark (Bull) (M)
Shark (Copper / Bronze) (F)
Shark (Copper / Bronze) (M)
Shark (Cow) (Sevengill)
Shark (Dusky)
Shark (Flapnose Hound)
Shark (Great Hammerhead)
Shark (Great White)
Shark (Hardnosed Smooth-hound
Shark (Hound) (Smooth) (F)
Shark (Hound) (Smooth) (M)
Shark (Java)
Shark (Lemon)
Shark (Milk) (F)
Shark (Milk) (M)
Shark (Sandbar) (F)
Shark (Sandbar) (M)
Shark (Scalloped Hammerhead) (F)
Shark (Scalloped Hammerhead) (M)
Shark (Shortfin Mako)
Shark (Smooth Hammerhead) (F)
Shark (Smooth Hammerhead) (M)
Shark (Soupfin)
Shark (Spinner) (F)
Shark (Spinner) (M)
Shark (Spotted Gully)
Shark (Spotted Ragged-tooth) (F)
Shark (Spotted Ragged-tooth) (M)
Shark (Tiger) (F)
Shark (Tiger) (M)
Shark (Whitespotted Smooth-hound)
Shyshark (Brown)
Skate (Spearnose)
Skate (Thornback)
Slimy
Slinger
Snapper
Snapper (Bohar)
Snapper (Humpback)
Snapper (River)
Snapper (Russells)
Snapper (Speckled)
Snoek
Soldier (Blotcheye)
Soldierbream (King)
Sole (Shallow water)
Spadefish
Springer
Steenbras (Red)
Steenbras (Sand)
Steenbras (Westcoast)
Steenbras (White)
Steentjie
